nm,n,k,wl
529.509399,1,1.910297,0.529509399
531.10022,1,1.902492,0.53110022
532.69104,1,1.894738,0.53269104
534.28186,1,1.887037,0.53428186
535.872681,1,1.879388,0.535872681
537.463379,1,1.871793,0.537463379
539.054138,1,1.864253,0.539054138
540.644897,1,1.856767,0.540644897
542.235596,1,1.849336,0.542235596
543.826294,1,1.841962,0.543826294
545.416992,1,1.834644,0.545416992
547.00769,1,1.827383,0.54700769
548.598267,1,1.82018,0.548598267
550.188904,1,1.813035,0.550188904
551.779541,1,1.805948,0.551779541
553.370117,1,1.798921,0.553370117
554.960693,1,1.791953,0.554960693
556.55127,1,1.785047,0.55655127
558.141785,1,1.778204,0.558141785
559.7323,1,1.771425,0.5597323
561.322815,1,1.764711,0.561322815
562.913269,1,1.758065,0.562913269
564.503723,1,1.751487,0.564503723
566.094116,1,1.744978,0.566094116
567.68457,1,1.73854,0.56768457
569.274963,1,1.732172,0.569274963
570.865295,1,1.725877,0.570865295
572.455688,1,1.719654,0.572455688
574.045959,1,1.713504,0.574045959
575.636292,1,1.707429,0.575636292
577.226501,1,1.701428,0.577226501
578.816772,1,1.695502,0.578816772
580.406982,1,1.689652,0.580406982
581.997192,1,1.683879,0.581997192
583.587341,1,1.678183,0.583587341
585.177551,1,1.672566,0.585177551
586.767639,1,1.667029,0.586767639
588.357788,1,1.661571,0.588357788
589.947815,1,1.656196,0.589947815
591.537842,1,1.650901,0.591537842
593.127869,1,1.645689,0.593127869
594.717896,1,1.64056,0.594717896
596.307861,1,1.635513,0.596307861
597.897766,1,1.63055,0.597897766
599.487671,1,1.62567,0.599487671
601.077576,1,1.620874,0.601077576
602.667419,1,1.616161,0.602667419
604.257202,1,1.611532,0.604257202
605.847046,1,1.606986,0.605847046
607.436829,1,1.602523,0.607436829
609.02655,1,1.598143,0.60902655
610.616272,1,1.593843,0.610616272
612.205933,1,1.589622,0.612205933
613.795532,1,1.585475,0.613795532
615.385193,1,1.581401,0.615385193
616.974731,1,1.577397,0.616974731
618.564331,1,1.57346,0.618564331
620.15387,1,1.569589,0.62015387
621.743347,1,1.565781,0.621743347
623.332825,1,1.562034,0.623332825
624.922241,1,1.558347,0.624922241
626.511597,1,1.554717,0.626511597
628.100952,1,1.551143,0.628100952
629.690308,1,1.547622,0.629690308
631.279602,1,1.544154,0.631279602
632.868835,1,1.540735,0.632868835
634.458069,1,1.537366,0.634458069
636.047241,1,1.534043,0.636047241
637.636353,1,1.530765,0.637636353
639.225464,1,1.527532,0.639225464
640.814575,1,1.52434,0.640814575
642.403625,1,1.521189,0.642403625
643.992615,1,1.518076,0.643992615
645.581604,1,1.514999,0.645581604
647.170532,1,1.511958,0.647170532
648.759399,1,1.508949,0.648759399
650.348267,1,1.505971,0.650348267
651.937134,1,1.503022,0.651937134
653.525879,1,1.500102,0.653525879
655.114624,1,1.497208,0.655114624
656.703308,1,1.494339,0.656703308
658.291992,1,1.491493,0.658291992
659.880615,1,1.488668,0.659880615
661.469177,1,1.485864,0.661469177
663.057739,1,1.483079,0.663057739
664.64624,1,1.480312,0.66464624
666.234741,1,1.47756,0.666234741
667.82312,1,1.474823,0.66782312
669.411499,1,1.472099,0.669411499
670.999878,1,1.469387,0.670999878
672.588135,1,1.466685,0.672588135
674.176392,1,1.463992,0.674176392
675.764587,1,1.461306,0.675764587
677.352783,1,1.458622,0.677352783
678.940918,1,1.455936,0.678940918
680.528992,1,1.453243,0.680528992
682.117065,1,1.450539,0.682117065
683.705017,1,1.447819,0.683705017
685.292969,1,1.445081,0.685292969
686.88092,1,1.44232,0.68688092
688.46875,1,1.439532,0.68846875
690.056519,1,1.436716,0.690056519
691.644348,1,1.433866,0.691644348
693.232056,1,1.430982,0.693232056
694.819702,1,1.428059,0.694819702
696.407349,1,1.425095,0.696407349
697.994934,1,1.422088,0.697994934
699.582458,1,1.419036,0.699582458
701.169983,1,1.415935,0.701169983
702.757446,1,1.412784,0.702757446
704.344849,1,1.409582,0.704344849
705.932129,1,1.406325,0.705932129
707.519409,1,1.403013,0.707519409
709.106689,1,1.399643,0.709106689
710.693909,1,1.396214,0.710693909
712.281067,1,1.392725,0.712281067
713.868103,1,1.389174,0.713868103
715.4552,1,1.38556,0.7154552
717.042175,1,1.381883,0.717042175
718.629089,1,1.378142,0.718629089
720.216003,1,1.374338,0.720216003
